,HomelessIndicator,Demographic,DemographicValue,Encounters,TotalEncounters
15183,Homeless,Age,40 to 59,319,765
15187,Homeless,Age,40 to 59,2995,7153
15191,Homeless,Age,40 to 59,8727,19725
15195,Homeless,Age,40 to 59,5539,13158
15199,Homeless,Age,40 to 59,2969,7006
15203,Homeless,Age,40 to 59,274,674
15207,Homeless,Age,40 to 59,461,1157
15211,Homeless,Age,40 to 59,1036,2646
15215,Homeless,Age,40 to 59,331,817
15219,Homeless,Age,40 to 59,513,1180
15223,Homeless,Age,40 to 59,1,7
15227,Homeless,Age,40 to 59,237,434
15231,Homeless,Age,40 to 59,209,393
15236,Homeless,Age,40 to 59,48,160
15259,Homeless,Age,40 to 59,966,2018
15271,Homeless,Age,40 to 59,594,1295
15279,Homeless,Age,40 to 59,998,1825
15283,Homeless,Age,40 to 59,1276,2888
15287,Homeless,Age,40 to 59,870,1675
15291,Homeless,Age,40 to 59,14,29
15295,Homeless,Age,40 to 59,278,680
15298,Homeless,Age,40 to 59,11,19
15303,Homeless,Age,40 to 59,10,69
15307,Homeless,Age,40 to 59,376,873
15311,Homeless,Age,40 to 59,517,1264
15315,Homeless,Age,40 to 59,256,493
15319,Homeless,Age,40 to 59,454,961
15323,Homeless,Age,40 to 59,830,2024
15327,Homeless,Age,40 to 59,3039,6868
15331,Homeless,Age,40 to 59,561,1296
15335,Homeless,Age,40 to 59,233,519
15339,Homeless,Age,40 to 59,411,938
15343,Homeless,Age,40 to 59,558,1462
15347,Homeless,Age,40 to 59,350,869
15351,Homeless,Age,40 to 59,957,2186
15355,Homeless,Age,40 to 59,681,1588
15359,Homeless,Age,40 to 59,247,642
15363,Homeless,Age,40 to 59,263,670
15367,Homeless,Age,40 to 59,483,1245
15371,Homeless,Age,40 to 59,1748,4224
15375,Homeless,Age,40 to 59,981,2431
15379,Homeless,Age,40 to 59,202,482
15383,Homeless,Age,40 to 59,780,1683
15387,Homeless,Age,40 to 59,821,2133
15395,Homeless,Age,40 to 59,1006,2278
15403,Homeless,Age,40 to 59,678,1574
15407,Homeless,Age,40 to 59,296,819
15423,Homeless,Age,40 to 59,718,1310
15427,Homeless,Age,40 to 59,383,897
15431,Homeless,Age,40 to 59,514,1159
15435,Homeless,Age,40 to 59,937,2234
15439,Homeless,Age,40 to 59,514,1095
15447,Homeless,Age,40 to 59,1147,2388
15451,Homeless,Age,40 to 59,1718,4417
15460,Homeless,Age,40 to 59,19,78
15463,Homeless,Age,40 to 59,833,1795
15471,Homeless,Age,40 to 59,415,971
15475,Homeless,Age,40 to 59,1071,2626
15479,Homeless,Age,40 to 59,143,419
15483,Homeless,Age,40 to 59,78,205
15487,Homeless,Age,40 to 59,2223,5562
15491,Homeless,Age,40 to 59,853,1891
15495,Homeless,Age,40 to 59,1353,3143
15499,Homeless,Age,40 to 59,567,1360
15503,Homeless,Age,40 to 59,1503,3339
15507,Homeless,Age,40 to 59,5076,12049
15511,Homeless,Age,40 to 59,1082,2762
15515,Homeless,Age,40 to 59,304,699
15527,Homeless,Age,40 to 59,538,1080
15531,Homeless,Age,40 to 59,282,572
15535,Homeless,Age,40 to 59,1726,4386
15539,Homeless,Age,40 to 59,782,1918
15547,Homeless,Age,40 to 59,707,1551
15551,Homeless,Age,40 to 59,662,1616
15555,Homeless,Age,40 to 59,1262,3354
15559,Homeless,Age,40 to 59,2152,5197
15563,Homeless,Age,40 to 59,543,1216
15567,Homeless,Age,40 to 59,924,2148
15575,Homeless,Age,40 to 59,76,232
15579,Homeless,Age,40 to 59,277,544
15583,Homeless,Age,40 to 59,1179,2968
15591,Homeless,Age,40 to 59,354,723
15595,Homeless,Age,40 to 59,3,149
15603,Homeless,Age,40 to 59,2422,5312
15607,Homeless,Age,40 to 59,3722,8918
15611,Homeless,Age,40 to 59,854,1839
15615,Homeless,Age,40 to 59,11756,25367
15619,Homeless,Age,40 to 59,1585,4163
15623,Homeless,Age,40 to 59,591,1130
15627,Homeless,Age,40 to 59,941,2223
15631,Homeless,Age,40 to 59,1074,2855
15635,Homeless,Age,40 to 59,7870,16452
15639,Homeless,Age,40 to 59,839,1837
15643,Homeless,Age,40 to 59,277,672
15647,Homeless,Age,40 to 59,876,1908
15651,Homeless,Age,40 to 59,409,1006
15659,Homeless,Age,40 to 59,1192,2773
15663,Homeless,Age,40 to 59,11705,24191
15667,Homeless,Age,40 to 59,5289,12515
15671,Homeless,Age,40 to 59,1850,4082
15675,Homeless,Age,40 to 59,597,1453
15678,Homeless,Age,40 to 59,73,196
